#Table S1. Reassessed PSV10 Localities			
#Locality	Latitude (◦)	Longitude (◦)	N
1	-77.7070	164.3649	128
2	-62.9628	299.3134	35
3	-51.3854	289.2386	37
4	-47.1049	288.8088	32
5	-46.4566	51.4682	37
6	-39.2890	175.5940	24
7	-38.9133	288.2625	18
8	-38.6749	143.8074	37
9	-38.1594	176.4960	13
10	-35.9664	290.5777	38
11	-27.0751	250.4058	27
12	-21.1515	55.5277	61
13	-17.6828	210.5386	123
14	-7.4452	111.9826	46
15	-4.3469	327.7683	38
16	-1.0795	269.1771	53
17	-0.5343	36.7669	60
18	-0.4775	281.7817	50
19	-0.0497	6.2275	38
20	2.1190	35.7774	33
21	4.8960	284.6531	46
22	10.1331	275.5765	30
23	14.6040	298.5436	14
24	15.9727	298.2671	23
25	17.0162	334.6384	27
26	18.5145	264.9900	9
27	20.0165	262.9919	20
28	20.5546	257.8058	271
29	20.6104	203.5837	158
30	28.0809	342.9537	87
31	35.5314	248.4233	27
32	35.9274	137.4208	55
33	36.9378	357.2572	10
34	37.7538	334.5637	33
35	38.2178	140.3537	9
36	38.3705	14.9458	39
37	38.5939	331.2170	12
38	40.2684	113.5965	16
39	41.4105	43.3568	66
40	43.1416	246.6354	22
41	45.5236	2.8079	6
42	45.7968	238.0341	89
43	45.8895	25.0481	87
44	47.2323	244.1587	7
45	51.5106	237.7180	51
46	51.8585	183.0434	20
47	53.3537	193.0448	64
48	60.2004	193.5424	56
49	64.8462	344.8861	62
50	70.9116	351.2876	23
51	78.4258	10.1650	14
