# observatory_id year lat lon element value sigma bias
AA  1.95850E+03   9.03333E+00   3.87667E+01   X  3.60820E+04   4.80000E+00   4.25700E+02
AA  1.95950E+03   9.03333E+00   3.87667E+01   X  3.60810E+04   4.80000E+00   4.25700E+02
AA  1.96050E+03   9.03333E+00   3.87667E+01   X  3.61000E+04   4.80000E+00   4.25700E+02
AA  1.96150E+03   9.03333E+00   3.87667E+01   X  3.61290E+04   4.80000E+00   4.25700E+02
AA  1.96250E+03   9.03333E+00   3.87667E+01   X  3.61550E+04   4.80000E+00   4.25700E+02
AA  1.96350E+03   9.03333E+00   3.87667E+01   X  3.61620E+04   4.80000E+00   4.25700E+02
AA  1.96450E+03   9.03333E+00   3.87667E+01   X  3.61700E+04   4.80000E+00   4.25700E+02
AA  1.96550E+03   9.03333E+00   3.87667E+01   X  3.61790E+04   4.80000E+00   4.25700E+02
AA  1.96650E+03   9.03333E+00   3.87667E+01   X  3.61780E+04   4.80000E+00   4.25700E+02
AA  1.96750E+03   9.03333E+00   3.87667E+01   X  3.61730E+04   4.80000E+00   4.25700E+02
AA  1.96850E+03   9.03333E+00   3.87667E+01   X  3.61760E+04   4.80000E+00   4.25700E+02
AA  1.96950E+03   9.03333E+00   3.87667E+01   X  3.61720E+04   4.80000E+00   4.25700E+02
AA  1.97050E+03   9.03333E+00   3.87667E+01   X  3.61600E+04   4.80000E+00   4.25700E+02
AA  1.97150E+03   9.03333E+00   3.87667E+01   X  3.61540E+04   4.80000E+00   4.25700E+02
AA  1.97250E+03   9.03333E+00   3.87667E+01   X  3.61360E+04   4.80000E+00   4.25700E+02
AA  1.97350E+03   9.03333E+00   3.87667E+01   X  3.61110E+04   4.80000E+00   4.25700E+02
AA  1.97450E+03   9.03333E+00   3.87667E+01   X  3.60900E+04   4.80000E+00   4.25700E+02
AA  1.97650E+03   9.03333E+00   3.87667E+01   X  3.60720E+04   4.80000E+00   4.25700E+02
AA  1.97750E+03   9.03333E+00   3.87667E+01   X  3.60740E+04   4.80000E+00   4.25700E+02
AA  1.97850E+03   9.03333E+00   3.87667E+01   X  3.60690E+04   4.80000E+00   4.25700E+02
AA  1.97950E+03   9.03333E+00   3.87667E+01   X  3.60790E+04   4.80000E+00   4.25700E+02
AA  1.98050E+03   9.03333E+00   3.87667E+01   X  3.60730E+04   4.80000E+00   4.25700E+02
AA  1.98150E+03   9.03333E+00   3.87667E+01   X  3.60400E+04   4.80000E+00   4.25700E+02
AA  1.98250E+03   9.03333E+00   3.87667E+01   X  3.60020E+04   4.80000E+00   4.25700E+02
AA  1.98350E+03   9.03333E+00   3.87667E+01   X  3.59890E+04   4.80000E+00   4.25700E+02
AA  1.98450E+03   9.03333E+00   3.87667E+01   X  3.59850E+04   4.80000E+00   4.25700E+02
AA  1.98550E+03   9.03333E+00   3.87667E+01   X  3.60100E+04   4.80000E+00   4.25700E+02
AA  1.98650E+03   9.03333E+00   3.87667E+01   X  3.60150E+04   4.80000E+00   4.25700E+02
AA  1.98750E+03   9.03333E+00   3.87667E+01   X  3.60160E+04   4.80000E+00   4.25700E+02
# observatory_id year lat lon element value sigma bias
AA  1.95850E+03   9.03333E+00   3.87667E+01   Y -2.75000E+02   8.60000E+00   7.66000E+01
AA  1.95950E+03   9.03333E+00   3.87667E+01   Y -2.77000E+02   8.60000E+00   7.66000E+01
AA  1.96050E+03   9.03333E+00   3.87667E+01   Y -2.76000E+02   8.60000E+00   7.66000E+01
AA  1.96150E+03   9.03333E+00   3.87667E+01   Y -2.79000E+02   8.60000E+00   7.66000E+01
AA  1.96250E+03   9.03333E+00   3.87667E+01   Y -2.78000E+02   8.60000E+00   7.66000E+01
AA  1.96350E+03   9.03333E+00   3.87667E+01   Y -2.59000E+02   8.60000E+00   7.66000E+01
AA  1.96450E+03   9.03333E+00   3.87667E+01   Y -2.42000E+02   8.60000E+00   7.66000E+01
AA  1.96550E+03   9.03333E+00   3.87667E+01   Y -2.14000E+02   8.60000E+00   7.66000E+01
AA  1.96650E+03   9.03333E+00   3.87667E+01   Y -1.88000E+02   8.60000E+00   7.66000E+01
AA  1.96750E+03   9.03333E+00   3.87667E+01   Y -1.65000E+02   8.60000E+00   7.66000E+01
AA  1.96850E+03   9.03333E+00   3.87667E+01   Y -1.26000E+02   8.60000E+00   7.66000E+01
AA  1.96950E+03   9.03333E+00   3.87667E+01   Y -9.50000E+01   8.60000E+00   7.66000E+01
AA  1.97050E+03   9.03333E+00   3.87667E+01   Y -6.60000E+01   8.60000E+00   7.66000E+01
AA  1.97150E+03   9.03333E+00   3.87667E+01   Y -2.90000E+01   8.60000E+00   7.66000E+01
AA  1.97250E+03   9.03333E+00   3.87667E+01   Y  4.00000E+00   8.60000E+00   7.66000E+01
AA  1.97350E+03   9.03333E+00   3.87667E+01   Y  4.20000E+01   8.60000E+00   7.66000E+01
AA  1.97450E+03   9.03333E+00   3.87667E+01   Y  7.80000E+01   8.60000E+00   7.66000E+01
AA  1.97650E+03   9.03333E+00   3.87667E+01   Y  1.98000E+02   8.60000E+00   7.66000E+01
AA  1.97750E+03   9.03333E+00   3.87667E+01   Y  2.15000E+02   8.60000E+00   7.66000E+01
AA  1.97850E+03   9.03333E+00   3.87667E+01   Y  2.60000E+02   8.60000E+00   7.66000E+01
AA  1.97950E+03   9.03333E+00   3.87667E+01   Y  3.19000E+02   8.60000E+00   7.66000E+01
AA  1.98050E+03   9.03333E+00   3.87667E+01   Y  3.68000E+02   8.60000E+00   7.66000E+01
AA  1.98150E+03   9.03333E+00   3.87667E+01   Y  4.38000E+02   8.60000E+00   7.66000E+01
AA  1.98250E+03   9.03333E+00   3.87667E+01   Y  4.79000E+02   8.60000E+00   7.66000E+01
AA  1.98350E+03   9.03333E+00   3.87667E+01   Y  5.16000E+02   8.60000E+00   7.66000E+01
AA  1.98450E+03   9.03333E+00   3.87667E+01   Y  5.71000E+02   8.60000E+00   7.66000E+01
AA  1.98550E+03   9.03333E+00   3.87667E+01   Y  6.33000E+02   8.60000E+00   7.66000E+01
AA  1.98650E+03   9.03333E+00   3.87667E+01   Y  6.77000E+02   8.60000E+00   7.66000E+01
AA  1.98750E+03   9.03333E+00   3.87667E+01   Y  6.98000E+02   8.60000E+00   7.66000E+01
# observatory_id year lat lon element value sigma bias
AA  1.95850E+03   9.03333E+00   3.87667E+01   Z -6.34000E+02   3.40000E+00   1.18200E+02
AA  1.95950E+03   9.03333E+00   3.87667E+01   Z -6.26000E+02   3.40000E+00   1.18200E+02
AA  1.96050E+03   9.03333E+00   3.87667E+01   Z -6.38000E+02   3.40000E+00   1.18200E+02
AA  1.96150E+03   9.03333E+00   3.87667E+01   Z -6.33000E+02   3.40000E+00   1.18200E+02
AA  1.96250E+03   9.03333E+00   3.87667E+01   Z -6.32000E+02   3.40000E+00   1.18200E+02
AA  1.96350E+03   9.03333E+00   3.87667E+01   Z -6.35000E+02   3.40000E+00   1.18200E+02
AA  1.96450E+03   9.03333E+00   3.87667E+01   Z -6.37000E+02   3.40000E+00   1.18200E+02
AA  1.96550E+03   9.03333E+00   3.87667E+01   Z -6.40000E+02   3.40000E+00   1.18200E+02
AA  1.96650E+03   9.03333E+00   3.87667E+01   Z -6.40000E+02   3.40000E+00   1.18200E+02
AA  1.96750E+03   9.03333E+00   3.87667E+01   Z -6.38000E+02   3.40000E+00   1.18200E+02
AA  1.96850E+03   9.03333E+00   3.87667E+01   Z -6.38000E+02   3.40000E+00   1.18200E+02
AA  1.96950E+03   9.03333E+00   3.87667E+01   Z -6.38000E+02   3.40000E+00   1.18200E+02
AA  1.97050E+03   9.03333E+00   3.87667E+01   Z -6.40000E+02   3.40000E+00   1.18200E+02
AA  1.97150E+03   9.03333E+00   3.87667E+01   Z -6.48000E+02   3.40000E+00   1.18200E+02
AA  1.97250E+03   9.03333E+00   3.87667E+01   Z -6.54000E+02   3.40000E+00   1.18200E+02
AA  1.97350E+03   9.03333E+00   3.87667E+01   Z -6.36000E+02   3.40000E+00   1.18200E+02
AA  1.97450E+03   9.03333E+00   3.87667E+01   Z -6.27000E+02   3.40000E+00   1.18200E+02
AA  1.97550E+03   9.03333E+00   3.87667E+01   Z -6.06000E+02   3.40000E+00   1.18200E+02
AA  1.97650E+03   9.03333E+00   3.87667E+01   Z -5.74000E+02   3.40000E+00   1.18200E+02
AA  1.97750E+03   9.03333E+00   3.87667E+01   Z -5.39000E+02   3.40000E+00   1.18200E+02
AA  1.97850E+03   9.03333E+00   3.87667E+01   Z -5.02000E+02   3.40000E+00   1.18200E+02
AA  1.97950E+03   9.03333E+00   3.87667E+01   Z -4.62000E+02   3.40000E+00   1.18200E+02
AA  1.98050E+03   9.03333E+00   3.87667E+01   Z -4.07000E+02   3.40000E+00   1.18200E+02
AA  1.98150E+03   9.03333E+00   3.87667E+01   Z -3.59000E+02   3.40000E+00   1.18200E+02
AA  1.98250E+03   9.03333E+00   3.87667E+01   Z -3.04000E+02   3.40000E+00   1.18200E+02
AA  1.98350E+03   9.03333E+00   3.87667E+01   Z -2.44000E+02   3.40000E+00   1.18200E+02
AA  1.98450E+03   9.03333E+00   3.87667E+01   Z -1.87000E+02   3.40000E+00   1.18200E+02
AA  1.98550E+03   9.03333E+00   3.87667E+01   Z -1.36000E+02   3.40000E+00   1.18200E+02
AA  1.98650E+03   9.03333E+00   3.87667E+01   Z -9.30000E+01   3.40000E+00   1.18200E+02
AA  1.98750E+03   9.03333E+00   3.87667E+01   Z -4.60000E+01   3.40000E+00   1.18200E+02
# observatory_id year lat lon element value sigma bias
AB  1.92550E+03   5.11833E+01   3.59617E+02   X  1.80920E+04   2.20000E+00   6.27000E+01
AB  1.92650E+03   5.11833E+01   3.59617E+02   X  1.80920E+04   2.20000E+00   6.27000E+01
AB  1.92750E+03   5.11833E+01   3.59617E+02   X  1.81010E+04   2.20000E+00   6.27000E+01
AB  1.92850E+03   5.11833E+01   3.59617E+02   X  1.81040E+04   2.20000E+00   6.27000E+01
AB  1.92950E+03   5.11833E+01   3.59617E+02   X  1.81080E+04   2.20000E+00   6.27000E+01
AB  1.93050E+03   5.11833E+01   3.59617E+02   X  1.81090E+04   2.20000E+00   6.27000E+01
AB  1.93150E+03   5.11833E+01   3.59617E+02   X  1.81220E+04   2.20000E+00   6.27000E+01
AB  1.93250E+03   5.11833E+01   3.59617E+02   X  1.81280E+04   2.20000E+00   6.27000E+01
AB  1.93350E+03   5.11833E+01   3.59617E+02   X  1.81360E+04   2.20000E+00   6.27000E+01
AB  1.93450E+03   5.11833E+01   3.59617E+02   X  1.81490E+04   2.20000E+00   6.27000E+01
AB  1.93550E+03   5.11833E+01   3.59617E+02   X  1.81550E+04   2.20000E+00   6.27000E+01
AB  1.93650E+03   5.11833E+01   3.59617E+02   X  1.81630E+04   2.20000E+00   6.27000E+01
AB  1.93750E+03   5.11833E+01   3.59617E+02   X  1.81710E+04   2.20000E+00   6.27000E+01
AB  1.93850E+03   5.11833E+01   3.59617E+02   X  1.81800E+04   2.20000E+00   6.27000E+01
AB  1.93950E+03   5.11833E+01   3.59617E+02   X  1.81960E+04   2.20000E+00   6.27000E+01
AB  1.94050E+03   5.11833E+01   3.59617E+02   X  1.82100E+04   2.20000E+00   6.27000E+01
AB  1.94150E+03   5.11833E+01   3.59617E+02   X  1.82250E+04   2.20000E+00   6.27000E+01
AB  1.94250E+03   5.11833E+01   3.59617E+02   X  1.82480E+04   2.20000E+00   6.27000E+01
AB  1.94350E+03   5.11833E+01   3.59617E+02   X  1.82590E+04   2.20000E+00   6.27000E+01
AB  1.94450E+03   5.11833E+01   3.59617E+02   X  1.82770E+04   2.20000E+00   6.27000E+01
AB  1.94550E+03   5.11833E+01   3.59617E+02   X  1.82910E+04   2.20000E+00   6.27000E+01
AB  1.94650E+03   5.11833E+01   3.59617E+02   X  1.82950E+04   2.20000E+00   6.27000E+01
AB  1.94750E+03   5.11833E+01   3.59617E+02   X  1.83100E+04   2.20000E+00   6.27000E+01
AB  1.94850E+03   5.11833E+01   3.59617E+02   X  1.83330E+04   2.20000E+00   6.27000E+01
AB  1.94950E+03   5.11833E+01   3.59617E+02   X  1.83540E+04   2.20000E+00   6.27000E+01
AB  1.95050E+03   5.11833E+01   3.59617E+02   X  1.83820E+04   2.20000E+00   6.27000E+01
AB  1.95150E+03   5.11833E+01   3.59617E+02   X  1.84080E+04   2.20000E+00   6.27000E+01
AB  1.95250E+03   5.11833E+01   3.59617E+02   X  1.84360E+04   2.20000E+00   6.27000E+01
AB  1.95350E+03   5.11833E+01   3.59617E+02   X  1.84670E+04   2.20000E+00   6.27000E+01
AB  1.95450E+03   5.11833E+01   3.59617E+02   X  1.84970E+04   2.20000E+00   6.27000E+01
AB  1.95550E+03   5.11833E+01   3.59617E+02   X  1.85210E+04   2.20000E+00   6.27000E+01
